Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac,#frogs
Green treefrog,HCI1,Imidacloprid,LCMS,1,Soil,5.75758E-06,0.128323626,2.032637766,0.57,0.063131576,1.46095,1.7209,510,0.51,255.661,1.543,21025.05779,1.548692223,0.0002,292.5,84,Arboreal,1
Green treefrog,HCI2,Imidacloprid,LCMS,1,Soil,5.75758E-06,0.160232247,2.032637766,0.57,0.078829711,1.29982,1.4897,510,0.51,255.661,1.543,25392.5699,1.424579926,0.0002,292.5,84,Arboreal,1
Green treefrog,HCI3,Imidacloprid,LCMS,1,Soil,5.75758E-06,0.12428756,2.032637766,0.57,0.061145946,1.41647,1.5395,510,0.51,255.661,1.543,21059.10618,1.451962658,0.0002,292.5,84,Arboreal,1
Green treefrog,HCI4,Imidacloprid,LCMS,1,Soil,5.75758E-06,0.154999982,2.032637766,0.57,0.076255585,1.30898,1.4212,510,0.51,255.661,1.543,25419.9699,1.386276831,0.0002,292.5,84,Arboreal,1
Green treefrog,HCI5,Imidacloprid,LCMS,1,Soil,5.75758E-06,0.103564099,2.032637766,0.57,0.050950593,1.2973,1.4966,510,0.51,255.661,1.543,16336.58057,1.428396669,0.0002,292.5,84,Arboreal,1
Green treefrog,HCP1,Pendimethalin,LCMS,1,Soil,1.98644E-05,0.106088831,12.43513533,5.18,0.008531377,2.18431,2.5055,0.3,0.0003,281.31,1.17,6060.176623,1.924963356,4,243000,40,Arboreal,1
Green treefrog,HCP2,Pendimethalin,LCMS,1,Soil,1.98644E-05,0.264552068,12.43513533,5.18,0.021274563,1.10908,1.2193,0.3,0.0003,281.31,1.17,11643.33024,1.268588082,4,243000,40,Arboreal,1
Green treefrog,HCP3,Pendimethalin,LCMS,1,Soil,1.98644E-05,0.285295401,12.43513533,5.18,0.022942686,2.55184,2.8276,0.3,0.0003,281.31,1.17,17751.63705,2.06458901,4,243000,40,Arboreal,1
Green treefrog,HCP4,Pendimethalin,LCMS,1,Soil,1.98644E-05,0.087572337,12.43513533,5.18,0.007042331,2.44681,2.8606,0.3,0.0003,281.31,1.17,5189.669617,2.078506015,4,243000,40,Arboreal,1
Green treefrog,HCP5,Pendimethalin,LCMS,1,Soil,1.98644E-05,0.083610081,12.43513533,5.18,0.006723697,2.26759,2.7422,0.3,0.0003,281.31,1.17,4705.708155,2.028252403,4,243000,40,Arboreal,1
Green treefrog,HCA1,Total Atrazine,LCMS,1,Soil,2.30303E-05,3.727357846,17.60923519,2.5,0.211670627,1.31617,1.703,30,0.03,215.68,1.187,138381.3421,1.539344719,0.04,122,80,Arboreal,1
Green treefrog,HCA2,Total Atrazine,LCMS,1,Soil,2.30303E-05,3.065833762,17.60923519,2.5,0.174103743,1.8349,2.1766,30,0.03,215.68,1.187,137665.4384,1.774338306,0.04,122,80,Arboreal,1
Green treefrog,HCA3,Total Atrazine,LCMS,1,Soil,2.30303E-05,5.406937125,17.60923519,2.5,0.307051219,2.11135,2.5592,30,0.03,215.68,1.187,254364.7622,1.948744724,0.04,122,80,Arboreal,1
Green treefrog,HCA4,Total Atrazine,LCMS,1,Soil,2.30303E-05,3.651702998,17.60923519,2.5,0.20737431,1.88638,2.1335,30,0.03,215.68,1.187,170536.6515,1.753909771,0.04,122,80,Arboreal,1
Green treefrog,HCA5,Total Atrazine,LCMS,1,Soil,2.30303E-05,2.867269263,17.60923519,2.5,0.162827586,0.73631,0.8415,30,0.03,215.68,1.187,89569.58971,1.023455444,0.04,122,80,Arboreal,1
Green treefrog,HCF1,Total Fipronil,LCMS,1,Soil,1.06061E-06,0.197411795,2.804569298,4,0.070389345,1.69128,2.0529,3.78,0.00378,437.15,1.48,183531.6408,1.715234716,0.00037,825,125,Arboreal,1
Green treefrog,HCF2,Total Fipronil,LCMS,1,Soil,1.06061E-06,0.111496024,2.804569298,4,0.039755133,2.0466,2.3962,3.78,0.00378,437.15,1.48,114691.6467,1.875886072,0.00037,825,125,Arboreal,1
Green treefrog,HCF3,Total Fipronil,LCMS,1,Soil,1.06061E-06,0.061188744,2.804569298,4,0.021817519,2.34143,2.603,3.78,0.00378,437.15,1.48,68639.87215,1.967986651,0.00037,825,125,Arboreal,1
Green treefrog,HCF4,Total Fipronil,LCMS,1,Soil,1.06061E-06,0.427601059,2.804569298,4,0.152465856,1.05281,1.1301,3.78,0.00378,437.15,1.48,349637.0065,1.213996055,0.00037,825,125,Arboreal,1
Green treefrog,HCF5,Total Fipronil,LCMS,1,Soil,1.06061E-06,0.261173889,2.804569298,4,0.09312442,1.01293,1.0906,3.78,0.00378,437.15,1.48,209741.3987,1.189243881,0.00037,825,125,Arboreal,1
Green treefrog,HCT1,Total Triadimefon,LCMS,1,Soil,2.71132E-06,0.273380103,5.245912662,3.11,0.052112973,1.26341,1.3992,260,0.26,291.73,1.22,92726.27757,1.373811056,0.02,520,26,Arboreal,1
Green treefrog,HCT2,Total Triadimefon,LCMS,1,Soil,2.71132E-06,0.393093957,5.245912662,3.11,0.074933378,1.56597,1.7952,260,0.26,291.73,1.22,143055.4758,1.587062168,0.02,520,26,Arboreal,1
Green treefrog,HCT3,Total Triadimefon,LCMS,1,Soil,2.71132E-06,0.151943337,5.245912662,3.11,0.028964138,1.34966,1.639,260,0.26,291.73,1.22,50236.66935,1.505579938,0.02,520,26,Arboreal,1
Green treefrog,HCT4,Total Triadimefon,LCMS,1,Soil,2.71132E-06,0.495725615,5.245912662,3.11,0.094497497,1.4684,1.7904,260,0.26,291.73,1.22,169427.4055,1.584603807,0.02,520,26,Arboreal,1
Green treefrog,HCT5,Total Triadimefon,LCMS,1,Soil,2.71132E-06,0.557152367,5.245912662,3.11,0.106206947,2.15294,2.5031,260,0.26,291.73,1.22,229955.0984,1.923895518,0.02,520,26,Arboreal,1
Leopard frog,LFP1,Pendimethalin,LCMS,1,Soil,1.99681E-05,0.131424428,17.57581532,5.18,0.007477572,1.2242,1.41045,0.3,0.0003,281.31,1.17,5837.823676,1.380195828,4,243000,40,Aquatic,1
Leopard frog,LFP2,Pendimethalin,LCMS,1,Soil,1.99681E-05,0.41907742,17.57581532,5.18,0.023843982,2.64224,2.90213,0.3,0.0003,281.31,1.17,26457.82066,2.095924664,4,243000,40,Aquatic,1
Leopard frog,LFP3,Pendimethalin,LCMS,1,Soil,1.99681E-05,0.092921182,17.57581532,5.18,0.005286877,2.90779,5.548,0.3,0.0003,281.31,1.17,4436.325093,3.05012481,4,243000,40,Aquatic,1
Leopard frog,LFP4,Pendimethalin,LCMS,1,Soil,1.99681E-05,0.522692823,17.57581532,5.18,0.029739322,1.8955,2.19097,0.3,0.0003,281.31,1.17,27857.51925,1.781111462,4,243000,40,Aquatic,1
Leopard frog,LFA1,Total Atrazine,LCMS,1,Soil,2.311E-05,3.440459903,21.53033266,2.5,0.159795947,1.74298,1.9611,30,0.03,215.68,1.187,155341.7186,1.670397973,0.04,122,80,Aquatic,1
Leopard frog,LFA2,Total Atrazine,LCMS,1,Soil,2.2823E-05,6.098643762,21.53033266,2.5,0.283258223,3.042,3.60864,30,0.03,215.68,1.187,341865.958,2.377740885,0.04,122,80,Aquatic,1
Leopard frog,LFA3,Total Atrazine,LCMS,1,Soil,2.2823E-05,4.385147102,21.53033266,2.5,0.203672984,2.243,2.90716,30,0.03,215.68,1.187,205414.0897,2.098027218,0.04,122,80,Aquatic,1
Leopard frog,LFA4,Total Atrazine,LCMS,1,Soil,2.2823E-05,5.751047214,21.53033266,2.5,0.267113718,2.0197,2.35487,30,0.03,215.68,1.187,274050.2762,1.857083629,0.04,122,80,Aquatic,1
Leopard frog,LFF1,Total Fipronil,LCMS,1,Soil,1.1244E-06,0.474578788,3.156807044,4,0.150335064,3.07228,5.0548,3.78,0.00378,437.15,1.48,448683.7415,2.890062318,0.00037,825,125,Aquatic,1
Leopard frog,LFF2,Total Fipronil,LCMS,1,Soil,1.1244E-06,0.608410201,3.156807044,4,0.192729613,1.6105,1.76974,3.78,0.00378,437.15,1.48,553647.6411,1.573990788,0.00037,825,125,Aquatic,1
Leopard frog,LFF3,Total Fipronil,LCMS,1,Soil,1.1244E-06,0.37917811,3.156807044,4,0.12011444,1.29821,1.5497,3.78,0.00378,437.15,1.48,300365.914,1.457524905,0.00037,825,125,Aquatic,1
