Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Leopard frog,LFA4,Atrazine,LCMS,Soil,1,2.2823E-05,4.426065378,21.47493747,2.5,0.206103761,2.0197,2.35487,30,0.03,215.68,1.187,210911.9251,1.857083629,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA1,Atrazine,GCMS,Soil,0,2.311E-05,2.181677561,63.04810338,2.5,0.034603381,1.74298,1.9611,30,0.03,215.68,1.187,98505.8833,1.670397973,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA2,Atrazine,GCMS,Soil,0,2.2823E-05,1.595111932,74.41198392,2.5,0.021436224,3.042,3.60864,30,0.03,215.68,1.187,89415.69472,2.377740885,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA3,Atrazine,GCMS,Soil,0,2.2823E-05,4.194689768,74.41198392,2.5,0.056371159,2.243,2.90716,30,0.03,215.68,1.187,196492.4688,2.098027218,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA4,Atrazine,GCMS,Soil,0,2.2823E-05,2.837825504,74.41198392,2.5,0.038136673,2.0197,2.35487,30,0.03,215.68,1.187,135228.7391,1.857083629,0.04,122,200,80,Aquatic,2.36E-09,1
Mole salamander,SA1,Atrazine,GCMS,Soil,1,2.30463E-05,6.823400408,52.67554477,2.5,0.129536399,2.93262,3.2314,30,0.03,215.68,1.187,45690.62421,19.00330994,0.04,122,200,80,Terrestrial,2.36E-09,1
Mole salamander,SA2,Atrazine,GCMS,Soil,1,2.30463E-05,5.611314977,52.67554477,2.5,0.106525998,3.53977,3.805,30,0.03,215.68,1.187,40491.24768,21.28522407,0.04,122,200,80,Terrestrial,2.36E-09,1
Mole salamander,SA3,Atrazine,GCMS,Soil,1,2.30463E-05,5.443528911,52.67554477,2.5,0.103340724,1.14,1.2725,30,0.03,215.68,1.187,27054.56033,9.952784448,0.04,122,200,80,Terrestrial,2.36E-09,1
Mole salamander,SA4,Atrazine,GCMS,Soil,1,2.32137E-05,2.748808693,81.7111506,2.5,0.033640558,2.9446,3.25998,30,0.03,215.68,1.187,18236.55907,19.11979612,0.04,122,200,80,Terrestrial,2.36E-09,1
Mole salamander,SA5,Atrazine,GCMS,Soil,1,2.32137E-05,2.620759616,81.7111506,2.5,0.032073464,2.59184,2.99712,30,0.03,215.68,1.187,16223.55211,18.03618823,0.04,122,200,80,Terrestrial,2.36E-09,1
Barking treefrog,HGOA1,Deisopropyl Atrazine,LCMS,Overspray,1,NA,1.543769182,0.015060984,2.5,102.5012187,2.02028,2.5056,30,0.03,215.68,1.187,NA,1.92500784,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA2,Deisopropyl Atrazine,LCMS,Overspray,1,NA,1.821242824,0.015060984,2.5,120.92456,1.69156,1.9493,30,0.03,215.68,1.187,NA,1.664571146,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA3,Deisopropyl Atrazine,LCMS,Overspray,1,NA,1.190937601,0.015060984,2.5,79.07435711,2.07221,2.4317,30,0.03,215.68,1.187,NA,1.891927509,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA4,Deisopropyl Atrazine,LCMS,Overspray,1,NA,1.897880614,0.015060984,2.5,126.0130583,2.36942,2.743,30,0.03,215.68,1.187,NA,2.028594985,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA5,Deisopropyl Atrazine,LCMS,Overspray,1,NA,1.308424429,0.015060984,2.5,86.87509777,1.96104,2.2946,30,0.03,215.68,1.187,NA,1.829413804,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA1,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.254828498,0.01177602,2.5,106.5579463,2.069224088,2.4975,30,0.03,215.68,1.187,NA,1.921402218,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA2,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.232233143,0.01177602,2.5,104.6391864,1.2818,1.5391,30,0.03,215.68,1.187,NA,1.451744215,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA3,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.161709139,0.01177602,2.5,98.65040538,1.91549,2.2008,30,0.03,215.68,1.187,NA,1.785733966,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA4,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.112263084,0.01177602,2.5,94.45152873,1.66783,1.9721,30,0.03,215.68,1.187,NA,1.675816481,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA5,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.21120004,0.01177602,2.5,102.8530903,2.6954,3.1445,30,0.03,215.68,1.187,NA,2.195558336,0.04,122,200,80,Arboreal,2.36E-09,1
Fowlers toad,FTA1,Deisopropyl Atrazine,LCMS,Soil,1,NA,2.673397637,0.009512997,2.5,281.0257931,2.811,3.2531,30,0.03,215.68,1.187,NA,2.239148039,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA2,Deisopropyl Atrazine,LCMS,Soil,1,NA,3.775195958,0.009512997,2.5,396.8461045,1.04725,1.3337,30,0.03,215.68,1.187,NA,1.336199406,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA3,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.764915688,0.009512997,2.5,185.5267709,2.57336,2.98286,30,0.03,215.68,1.187,NA,2.129487214,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA4,Deisopropyl Atrazine,LCMS,Soil,1,NA,2.583907396,0.009512997,2.5,271.618638,1.93404,2.20256,30,0.03,215.68,1.187,NA,1.786560678,0.04,122,200,80,Terrestrial,2.36E-09,1
