Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Perchlorate and Perchlorate Salts,014797-73-0,NA,NA,NA,NA,NA,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,NA,1.17E+02,NA,1.00E+00,2.45E+05,NA
Perfluorooctane Sulphonic Acid,001763-23-1,4.72E-02,2.29E+02,8.82E-03,1.76E-03,NA,3.02E-02,3.52E-06,5.62E+01,4.49E-01,NA,7.17E+04,3.62E-02,6.28E+00,1.49E-02,5.19E+01,5.00E+02,1.00E-01,1.00E+00,5.00E-02,6.40E-03
Perfluorooctanoic acid,000335-67-1,4.98E-02,1.89E+02,8.55E-03,1.71E-03,NA,3.42E-02,4.00E-06,5.62E+01,3.71E+00,NA,2.63E+04,1.14E-01,6.30E+00,1.57E-02,5.50E+01,4.14E+02,1.00E-01,1.00E+00,2.07E-03,5.25E-01
Permethrin,052645-53-1,7.91E-02,2.00E+02,6.54E-03,1.31E-03,1.23E+00,1.94E-02,4.78E-06,4.48E+02,7.65E-05,NA,1.19E+05,2.08E-01,6.50E+00,2.50E-02,3.40E+01,3.91E+02,1.00E-01,1.00E+00,6.00E-03,2.18E-08
Perylene,000198-55-0,4.45E-02,4.43E+02,9.13E-03,1.83E-03,1.35E+00,2.55E-02,6.58E-06,6.18E+03,1.49E-04,NA,5.99E+05,8.56E-01,6.25E+00,1.40E-02,2.74E+02,2.52E+02,1.30E-01,1.00E+00,4.00E-04,5.25E-09
Pesticides (total),000000-04-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Pesticides, organochlorinated (each)",000000-04-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Pesticides, organochlorinated (total)",000000-04-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Phenacetin,000062-44-2,9.50E-07,2.44E+02,4.67E+00,9.33E-01,NA,5.98E-02,6.98E-06,3.02E+01,8.71E-09,NA,4.10E+01,1.73E-03,1.58E+00,3.00E-07,1.38E+02,1.79E+02,1.00E-01,1.00E+00,7.66E+02,6.92E-07
Phenanthrene,000085-01-8,7.21E-04,3.40E+02,9.97E-02,1.99E-02,9.80E-01,3.45E-02,6.69E-06,2.51E+03,1.73E-03,NA,1.67E+04,1.44E-01,4.46E+00,2.28E-04,9.92E+01,1.78E+02,1.30E-01,1.00E+00,1.15E+00,1.21E-04
Phenazopyridine,000094-78-0,NA,3.91E+02,NA,NA,NA,5.32E-02,6.22E-06,1.00E+01,9.81E-14,NA,4.38E+02,6.93E-03,2.77E+00,NA,1.39E+02,2.13E+02,1.00E-01,1.00E+00,3.03E+04,9.60E-07
Phenazopyridine hydrochloride,000136-40-3,NA,5.29E+02,NA,NA,NA,4.79E-02,5.60E-06,3.16E+00,9.12E-21,NA,8.35E+02,3.92E-05,-3.00E-01,NA,2.26E+02,2.50E+02,1.00E-01,1.00E+00,1.18E+04,3.51E-11
Phenesterin,003546-10-9,NA,6.46E+02,NA,NA,NA,2.55E-02,2.97E-06,NA,1.25E-04,NA,2.22E+09,7.65E+01,1.25E+01,NA,9.00E+01,6.45E+02,1.00E-01,1.00E+00,6.45E-07,1.05E-12
Phenmedipham,013684-63-4,9.73E-05,3.96E+02,3.19E-01,6.37E-02,NA,4.24E-02,4.95E-06,1.09E+02,3.44E-11,NA,2.59E+03,7.86E-03,3.59E+00,3.07E-05,1.43E+02,3.00E+02,1.00E-01,1.00E+00,4.70E+00,1.00E-11
Phenobarbital,000050-06-6,7.38E-07,5.69E+02,5.41E+00,1.08E+00,NA,5.03E-02,5.88E-06,4.33E+00,6.75E-13,NA,5.85E+01,7.39E-04,1.47E+00,2.33E-07,1.74E+02,2.32E+02,1.00E-01,1.00E+00,1.11E+03,1.36E-11
Phenol,000108-95-2,7.21E-07,1.82E+02,5.48E+00,1.10E+00,1.05E+00,8.34E-02,1.03E-05,1.74E+01,1.36E-05,NA,1.87E+02,4.34E-03,1.46E+00,2.28E-07,4.09E+01,9.41E+01,1.00E-01,1.00E+00,8.28E+04,3.50E-01
Phenothiazine,000092-84-2,3.53E-04,3.71E+02,1.51E-01,3.02E-02,NA,5.57E-02,6.51E-06,3.53E+02,1.14E-06,NA,1.48E+03,6.83E-02,4.15E+00,1.12E-04,1.88E+02,1.99E+02,1.00E-01,1.00E+00,1.59E+00,8.32E-07
Phenoxybenzamine,000059-96-1,NA,3.88E+02,NA,NA,NA,4.20E-02,4.91E-06,5.36E+02,4.29E-07,NA,4.44E+04,3.76E-02,4.64E+00,NA,3.90E+01,3.04E+02,1.00E-01,1.00E+00,1.48E+00,1.23E-05
Phenoxybenzamine hydrochloride,000063-92-3,NA,5.55E+02,NA,NA,NA,3.90E-02,4.55E-06,3.16E+00,2.71E-14,NA,6.73E+04,2.30E-03,3.12E+00,NA,1.38E+02,3.40E+02,1.00E-01,1.00E+00,1.80E-02,8.18E-11
Phenyl Isothiocyanate,000103-72-0,4.76E-05,2.21E+02,4.82E-01,9.64E-02,1.13E+00,5.92E-02,8.60E-06,6.78E+01,1.21E-01,NA,2.19E+02,4.13E-02,3.28E+00,1.51E-05,-2.10E+01,1.35E+02,1.00E-01,1.00E+00,8.99E+01,1.50E+00
"Phenylenediamine, m-",000108-45-2,1.17E-08,2.85E+02,5.98E+01,1.20E+01,1.01E+00,7.21E-02,9.19E-06,6.46E+00,5.11E-08,NA,3.38E+01,2.34E-04,-3.30E-01,3.70E-09,6.35E+01,1.08E+02,1.00E-01,1.00E+00,2.38E+05,2.09E-03
"Phenylenediamine, o-",000095-54-5,3.53E-08,2.57E+02,3.15E+01,6.30E+00,NA,8.37E-02,9.78E-06,3.16E+00,2.94E-07,NA,3.45E+01,4.87E-04,1.50E-01,1.12E-08,2.58E+02,1.08E+02,1.00E-01,1.00E+00,4.04E+04,2.06E-03
"Phenylenediamine, p-",000106-50-3,1.25E-08,2.67E+02,5.75E+01,1.15E+01,NA,8.37E-02,9.78E-06,3.16E+00,3.63E-08,NA,3.38E+01,2.45E-04,-3.00E-01,3.96E-09,1.46E+02,1.08E+02,1.00E-01,1.00E+00,3.70E+04,6.55E-04
Phenylmercuric Acetate,000062-38-4,1.28E-07,2.91E+02,1.49E+01,2.98E+00,NA,3.93E-02,4.59E-06,1.00E+02,2.31E-08,NA,5.64E+01,5.99E-05,7.10E-01,4.05E-08,1.53E+02,3.37E+02,1.00E-01,1.00E+00,4.37E+03,6.00E-06
"Phenylphenate, sodium, O-",000132-27-4,NA,5.37E+02,NA,NA,NA,5.71E-02,6.67E-06,NA,3.14E-06,NA,6.72E+03,3.23E-04,5.90E-01,NA,2.30E+02,1.92E+02,1.00E-01,1.00E+00,1.00E+06,1.91E-11
"Phenylphenol, 2-",000090-43-7,3.08E-05,2.86E+02,6.21E-01,1.24E-01,1.21E+00,4.21E-02,7.82E-06,5.08E+01,4.29E-05,NA,6.72E+03,1.96E-02,3.09E+00,9.72E-06,5.90E+01,1.70E+02,1.00E-01,1.00E+00,7.00E+02,2.00E-03
Phorate,000298-02-2,9.08E-05,1.19E+02,3.32E-01,6.63E-02,1.16E+00,2.33E-02,5.90E-06,1.04E+02,1.79E-04,NA,4.60E+02,1.26E-02,3.56E+00,2.87E-05,-1.50E+01,2.60E+02,1.00E-01,1.00E+00,5.00E+01,6.38E-04
Phosgene,000075-44-5,4.87E-09,8.20E+00,9.94E+01,1.99E+01,1.37E+00,8.93E-02,1.17E-05,3.16E+00,6.83E-01,NA,1.00E+00,1.47E-04,-7.10E-01,1.54E-09,-1.18E+02,9.89E+01,NA,1.00E+00,6.83E+03,1.42E+03
Phosmet,000732-11-6,1.51E-05,4.80E+02,9.40E-01,1.88E-01,NA,4.08E-02,4.77E-06,1.80E+00,3.43E-07,NA,1.00E+01,1.83E-03,2.78E+00,4.76E-06,7.20E+01,3.17E+02,1.00E-01,1.00E+00,2.44E+01,4.90E-07
Phosphine,007803-51-2,5.50E-06,-8.77E+01,1.66E+00,3.36E-01,1.39E+00,NA,NA,5.00E+04,NA,NA,NA,1.00E-03,NA,1.70E-06,-1.33E+02,3.40E+01,NA,1.00E+00,3.30E+00,2.93E+04
Phosphoric Acid,007664-38-2,3.50E-10,4.07E+02,4.56E+02,9.23E+01,1.83E+00,NA,NA,5.00E+04,NA,NA,NA,1.00E-03,NA,1.10E-10,4.24E+01,9.80E+01,NA,1.00E+00,5.48E+06,3.00E-02
Phosphorus (total),000000-06-3,5.50E-02,NA,3.50E+00,8.75E-01,NA,NA,NA,NA,NA,3.50E+00,NA,1.00E-03,NA,1.50E-02,NA,NA,NA,1.00E+00,NA,NA
Phosphorus pentoxide,001314-56-3,NA,6.05E+02,NA,NA,2.30E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,5.62E+02,1.42E+02,NA,1.00E+00,NA,NA
"Phosphorus, White",007723-14-0,5.50E-02,-8.77E+01,3.50E+00,8.75E-01,2.69E+00,NA,NA,5.00E+04,NA,3.50E+00,NA,1.00E-03,NA,1.50E-02,-1.33E+02,3.10E+01,NA,1.00E+00,3.30E+00,2.93E+04
Phthalates (total),000000-05-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Phthalic Acid, P-",000100-21-0,2.50E-06,3.00E+02,2.66E+00,5.33E-01,1.51E+00,4.87E-02,9.04E-06,3.16E+00,1.59E-11,NA,7.92E+01,3.91E-03,2.00E+00,7.90E-07,4.02E+02,1.66E+02,1.00E-01,1.00E+00,1.50E+01,9.20E-06
"Phthalic Acid, m-",000121-91-5,1.14E-06,4.80E+02,4.19E+00,8.39E-01,NA,6.29E-02,7.35E-06,3.16E+00,1.59E-11,NA,7.92E+01,2.32E-03,1.66E+00,3.61E-07,3.47E+02,1.66E+02,1.00E-01,1.00E+00,1.30E+02,2.60E-08
"Phthalic Acid, o-",000088-99-3,1.34E-07,3.25E+02,1.45E+01,2.90E+00,2.18E+00,5.71E-02,1.13E-05,3.16E+00,8.18E-10,NA,8.09E+01,5.59E-04,7.30E-01,4.24E-08,2.30E+02,1.66E+02,1.00E-01,1.00E+00,6.97E+03,6.36E-07
Phthalic Anhydride,000085-44-9,9.95E-07,2.95E+02,4.54E+00,9.09E-01,1.53E+00,5.95E-02,9.75E-06,5.28E+00,6.66E-07,NA,1.00E+01,2.67E-03,1.60E+00,3.15E-07,1.31E+02,1.48E+02,1.00E-01,1.00E+00,6.20E+03,5.17E-04
Picloram,001918-02-1,1.99E-06,3.73E+02,3.04E+00,6.09E-01,NA,4.90E-02,5.73E-06,3.16E+00,2.18E-12,NA,3.88E+01,1.27E-03,1.90E+00,6.28E-07,2.19E+02,2.41E+02,1.00E-01,1.00E+00,4.30E+02,7.21E-11
"Picoline, 2-",000109-06-8,3.22E-07,1.29E+02,8.74E+00,1.75E+00,9.44E-01,8.02E-02,9.66E-06,2.51E+00,4.07E-04,NA,1.15E+02,2.57E-03,1.11E+00,1.02E-07,-6.67E+01,9.31E+01,1.00E-01,1.00E+00,1.00E+06,1.12E+01
"Picramic Acid (2-Amino-4,6-dinitrophenol)",000096-91-3,2.13E-07,3.75E+02,1.11E+01,2.22E+00,NA,5.57E-02,6.51E-06,2.95E+00,7.60E-13,NA,2.27E+02,4.96E-04,9.30E-01,6.72E-08,1.69E+02,1.99E+02,1.00E-01,1.00E+00,1.40E+03,2.54E-07
"Picric Acid (2,4,6-Trinitrophenol)",000088-89-1,5.34E-07,3.00E+02,6.52E+00,1.30E+00,1.76E+00,3.02E-02,8.18E-06,2.19E+00,6.95E-10,NA,2.25E+03,6.21E-04,1.33E+00,1.69E-07,1.23E+02,2.29E+02,1.00E-01,1.00E+00,1.27E+04,7.50E-07
Piperidine,000110-89-4,1.73E-07,1.06E+02,1.25E+01,2.51E+00,8.61E-01,8.30E-02,9.64E-06,3.16E+00,1.82E-04,NA,5.47E+01,1.89E-03,8.40E-01,5.47E-08,-7.00E+00,8.52E+01,1.00E-01,1.00E+00,4.58E+05,3.21E+01
"Pirimiphos, Methyl",029232-93-7,3.96E-04,3.73E+02,1.41E-01,2.82E-02,1.17E+00,2.15E-02,5.39E-06,2.74E+02,2.87E-05,NA,3.75E+02,1.87E-02,4.20E+00,1.25E-04,1.50E+01,3.05E+02,1.00E-01,1.00E+00,8.60E+00,1.50E-05
Polybrominated Biphenyls,059536-65-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Polychlorinated Biphenyls (high risk),001336-36-3,4.87E-02,3.60E+02,8.65E-03,1.73E-03,NA,4.32E-02,5.04E-06,NA,7.77E-03,NA,7.81E+04,5.45E-01,7.10E+00,1.54E-02,1.22E+02,2.92E+02,1.40E-01,1.00E+00,7.00E-01,8.63E-05
Polychlorinated Biphenyls (low risk),001336-36-3,4.87E-02,3.60E+02,8.65E-03,1.73E-03,NA,4.32E-02,5.04E-06,NA,7.77E-03,NA,7.81E+04,5.45E-01,7.10E+00,1.54E-02,1.22E+02,2.92E+02,1.40E-01,1.00E+00,7.00E-01,8.63E-05
Polychlorinated Biphenyls (lowest risk),001336-36-3,4.87E-02,3.60E+02,8.65E-03,1.73E-03,NA,4.32E-02,5.04E-06,NA,7.77E-03,NA,7.81E+04,5.45E-01,7.10E+00,1.54E-02,1.22E+02,2.92E+02,1.40E-01,1.00E+00,7.00E-01,8.63E-05
"Polycyclic aromatic hydrocarbons (PAH), Total",000000-04-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30E-01,1.00E+00,NA,NA
"Polycyclic aromatic hydrocarbons (PAH), Total (high molecular weight)",000000-03-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30E-01,1.00E+00,NA,NA
"Polycyclic aromatic hydrocarbons (PAH), Total (low molecular weight)",000000-03-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30E-01,1.00E+00,NA,NA
Polycyclic chlorinated hydrocarbons (total),000000-05-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Polymeric Methylene Diphenyl Diisocyanate (PMDI),009016-87-9,NA,5.87E+02,NA,NA,NA,2.97E-02,3.47E-06,NA,5.40E-10,NA,1.00E+10,1.86E+01,1.05E+01,NA,2.53E+02,5.13E+02,1.00E-01,1.00E+00,1.76E-06,5.41E-13
Polyphosphoric acid,008017-16-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,2.58E+02,NA,1.00E+00,NA,NA
Ponceau 3R,003564-09-8,NA,8.71E+02,NA,NA,NA,3.04E-02,3.55E-06,3.16E+00,1.81E-21,NA,1.10E+05,5.36E-06,4.60E-01,NA,3.50E+02,4.94E+02,1.00E-01,1.00E+00,3.33E-03,1.29E-23
Ponceau MX (D and C Red No.5),003761-53-3,NA,8.60E+02,NA,NA,NA,3.10E-02,3.62E-06,NA,1.64E-21,NA,6.73E+04,2.78E-06,-8.00E-02,NA,3.50E+02,4.80E+02,1.00E-01,1.00E+00,8.00E+04,2.88E-23
Potassium,007440-09-7,2.00E-02,1.32E+03,1.00E+00,2.50E-01,8.90E-01,NA,NA,NA,NA,5.50E+00,NA,2.00E-03,NA,7.00E-03,6.81E+02,3.91E+01,NA,1.00E+00,NA,NA
Potassium Cyanide,000151-50-8,1.40E-08,NA,5.31E+01,1.08E+01,1.55E+00,NA,NA,1.00E+03,NA,NA,NA,2.00E-03,NA,4.40E-09,6.34E+02,6.51E+01,NA,1.00E+00,7.20E+05,0.00E+00
Potassium Perchlorate,007778-74-7,NA,NA,NA,NA,2.52E+00,NA,NA,1.00E+03,NA,NA,NA,2.00E-03,NA,NA,5.25E+02,1.39E+02,NA,1.00E+00,1.50E+04,NA
Potassium Silver Cyanide,000506-61-6,NA,NA,NA,NA,NA,NA,NA,1.00E+03,NA,NA,NA,2.00E-03,NA,NA,NA,1.99E+02,NA,4.00E-02,NA,NA
Potassium bromate,007758-01-2,NA,NA,NA,NA,3.27E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,3.50E+02,1.67E+02,NA,1.00E+00,6.90E+04,NA
Potassium chlorate,003811-04-9,NA,4.00E+02,NA,NA,2.34E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,3.68E+02,1.23E+02,NA,1.00E+00,7.00E+04,NA
Potassium tripolyphosphate,013845-36-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Praseodymium,007440-10-0,NA,3.52E+03,NA,NA,6.77E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,9.31E+02,1.41E+02,NA,1.00E+00,NA,NA
"Praseodymium Chloride (Stable, Nonradioactive)",010361-79-2,NA,NA,NA,NA,4.00E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,7.86E+02,2.47E+02,NA,1.00E+00,9.61E+05,NA
Procarbazine,000671-16-9,NA,3.89E+02,NA,NA,NA,5.19E-02,6.07E-06,NA,3.65E-13,NA,2.16E+02,9.84E-05,6.00E-02,NA,1.50E+02,2.21E+02,1.00E-01,1.00E+00,1.00E+06,8.41E-07
Procarbazine hydrochloride,000366-70-1,NA,5.46E+02,NA,NA,NA,4.69E-02,5.48E-06,3.16E+00,2.79E-20,NA,3.31E+02,4.19E-06,-1.69E+00,NA,2.25E+02,2.58E+02,1.00E-01,1.00E+00,4.84E+04,1.01E-11
Prochloraz,067747-09-5,3.15E-04,5.01E+02,1.61E-01,3.22E-02,NA,3.64E-02,4.26E-06,NA,6.70E-07,NA,2.43E+03,6.40E-03,4.10E+00,9.95E-05,4.80E+01,3.77E+02,1.00E-01,1.00E+00,3.40E+01,1.13E-06
Profluralin,026399-36-0,9.50E-03,3.96E+02,2.23E-02,4.47E-03,NA,3.85E-02,4.49E-06,2.23E+03,1.19E-02,NA,3.05E+04,9.00E-02,5.58E+00,3.00E-03,3.23E+01,3.47E+02,1.00E-01,1.00E+00,1.00E-01,6.30E-05
Promethium,007440-12-2,NA,3.00E+03,NA,NA,7.26E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.04E+03,1.45E+02,NA,1.00E+00,NA,NA
Prometon,001610-18-0,2.44E-05,3.24E+02,7.10E-01,1.42E-01,NA,5.13E-02,6.00E-06,1.33E+01,3.72E-08,NA,1.37E+02,8.27E-03,2.99E+00,7.72E-06,9.15E+01,2.25E+02,1.00E-01,1.00E+00,7.50E+02,2.30E-06
Prometryn,007287-19-6,8.09E-05,3.47E+02,3.55E-01,7.09E-02,1.16E+00,2.42E-02,6.16E-06,2.92E+01,4.87E-07,NA,6.56E+02,1.49E-02,3.51E+00,2.56E-05,1.19E+02,2.41E+02,1.00E-01,1.00E+00,3.30E+01,1.24E-06
Propachlor,001918-16-7,3.78E-06,1.10E+02,2.09E+00,4.19E-01,1.24E+00,2.68E-02,6.96E-06,1.28E+01,1.47E-05,NA,2.05E+02,2.86E-03,2.18E+00,1.20E-06,7.70E+01,2.12E+02,1.00E-01,1.00E+00,5.80E+02,2.30E-04
"Propane sultone, 1,3-",001120-71-4,NA,1.80E+02,NA,NA,1.39E+00,7.31E-02,1.04E-05,3.16E+00,9.65E-05,NA,9.41E+00,2.11E-04,-2.80E-01,NA,3.15E+01,1.22E+02,1.00E-01,1.00E+00,4.15E+05,2.39E-01
Propanil,000709-98-8,2.94E-05,3.51E+02,6.38E-01,1.28E-01,1.25E+00,2.65E-02,6.86E-06,6.92E+01,6.99E-08,NA,1.76E+02,1.03E-02,3.07E+00,9.28E-06,9.20E+01,2.18E+02,1.00E-01,1.00E+00,1.52E+02,9.08E-07
"Propanoic acid, 2-(2,4-dichlorophenoxy)-",000120-36-5,NA,3.34E+02,NA,NA,NA,4.99E-02,5.83E-06,3.16E+00,4.99E-07,NA,4.85E+01,5.12E-05,3.43E+00,NA,1.22E+02,2.35E+02,1.00E-01,1.00E+00,3.50E+02,4.65E-07
Propargite,002312-35-8,2.50E-03,4.42E+02,4.85E-02,9.69E-03,1.10E+00,1.94E-02,4.78E-06,9.25E+02,2.62E-05,NA,3.67E+04,3.56E-02,5.00E+00,7.90E-04,1.73E+02,3.50E+02,1.00E-01,1.00E+00,2.15E-01,3.00E-07
Propargyl Alcohol,000107-19-7,1.04E-08,1.14E+02,6.40E+01,1.28E+01,9.48E-01,1.17E-01,1.31E-05,3.16E+00,4.70E-05,NA,1.90E+00,4.24E-04,-3.80E-01,3.29E-09,-5.18E+01,5.61E+01,1.00E-01,1.00E+00,1.00E+06,1.56E+01
Propazine,000139-40-2,2.13E-05,3.18E+02,7.69E-01,1.54E-01,1.16E+00,2.49E-02,6.36E-06,1.21E+01,1.88E-07,NA,3.44E+02,7.13E-03,2.93E+00,6.72E-06,2.13E+02,2.30E+02,1.00E-01,1.00E+00,8.60E+00,1.31E-07
Propham,000122-42-9,9.95E-06,2.57E+02,1.20E+00,2.39E-01,1.09E+00,3.58E-02,7.11E-06,2.41E+01,7.52E-06,NA,2.19E+02,8.26E-03,2.60E+00,3.15E-06,8.73E+01,1.79E+02,1.00E-01,1.00E+00,1.79E+02,1.40E-04
Propiconazole,060207-90-1,1.31E-04,1.80E+02,2.68E-01,5.36E-02,1.27E+00,2.11E-02,5.28E-06,1.32E+02,7.03E-08,NA,1.56E+03,5.58E-03,3.72E+00,4.15E-05,1.73E+02,3.42E+02,1.00E-01,1.00E+00,1.10E+02,4.20E-07
"Propiolactone, beta-",000057-57-8,3.96E-09,1.62E+02,1.12E+02,2.24E+01,1.15E+00,1.06E-01,1.27E-05,3.16E+00,5.23E-04,NA,3.55E+00,1.82E-04,-8.00E-01,1.25E-09,-3.34E+01,7.21E+01,1.00E-01,1.00E+00,3.70E+05,2.29E+00
Propionaldehyde,000123-38-6,9.73E-08,4.80E+01,1.75E+01,3.50E+00,8.66E-01,1.10E-01,1.22E-05,3.16E+00,3.00E-03,NA,1.00E+00,1.82E-03,5.90E-01,3.07E-08,-8.00E+01,5.81E+01,NA,1.00E+00,3.06E+05,3.17E+02
Propionitrile,000107-12-0,3.61E-08,9.71E+01,3.11E+01,6.22E+00,7.82E-01,1.10E-01,1.18E-05,3.16E+00,1.51E-03,NA,8.51E+00,9.82E-04,1.60E-01,1.14E-08,-9.28E+01,5.51E+01,1.00E-01,1.00E+00,1.03E+05,4.74E+01
"Propionitrile, 3-(NN-dimethylamino)",001738-25-6,8.91E-09,1.73E+02,7.01E+01,1.40E+01,8.71E-01,7.39E-02,8.91E-06,3.16E+00,5.62E-07,NA,9.97E+00,2.22E-04,-4.48E-01,2.81E-09,-2.37E+01,9.82E+01,1.00E-01,1.00E+00,1.00E+06,1.35E+00
"Propyl Alcohol, n-",000071-23-8,4.45E-08,9.72E+01,2.76E+01,5.51E+00,8.00E-01,1.04E-01,1.14E-05,3.16E+00,3.03E-04,NA,1.90E+00,1.06E-03,2.50E-01,1.40E-08,-1.26E+02,6.01E+01,1.00E-01,1.00E+00,1.00E+06,2.10E+01
Propyl benzene,000103-65-1,1.22E-04,1.59E+02,2.79E-01,5.58E-02,8.59E-01,6.02E-02,7.83E-06,1.26E+02,4.29E-01,NA,8.13E+02,9.39E-02,3.69E+00,3.87E-05,-9.95E+01,1.20E+02,1.00E-01,1.00E+00,5.22E+01,3.42E+00
Propylene,000115-07-1,1.47E-06,-4.80E+01,3.62E+00,7.24E-01,5.05E-01,1.10E-01,1.07E-05,6.84E+00,8.01E+00,NA,2.17E+01,1.36E-02,1.77E+00,4.65E-07,-1.85E+02,4.21E+01,1.00E-01,1.00E+00,2.00E+02,8.69E+03
Propylene Glycol,000057-55-6,3.01E-09,1.88E+02,1.32E+02,2.63E+01,1.04E+00,9.81E-02,1.15E-05,3.16E+00,5.27E-07,NA,1.00E+00,1.43E-04,-9.20E-01,9.50E-10,-6.00E+01,7.61E+01,1.00E-01,1.00E+00,1.00E+06,1.29E-01
Propylene Glycol Dinitrate,006423-43-4,NA,9.20E+01,NA,NA,NA,6.29E-02,7.35E-06,5.19E+00,3.85E-05,NA,6.07E+01,2.08E-03,1.59E+00,NA,-9.63E+00,1.66E+02,1.00E-01,1.00E+00,3.26E+03,3.78E-01
Propylene Glycol Monoethyl Ether,001569-02-4,NA,1.31E+02,NA,NA,NA,8.58E-02,1.00E-05,NA,1.00E-06,NA,1.30E+00,4.09E-04,0.00E+00,NA,-4.56E+01,1.04E+02,1.00E-01,1.00E+00,7.90E+05,3.86E+00
Propylene Glycol Monomethyl Ether,000107-98-2,8.09E-09,1.19E+02,7.41E+01,1.48E+01,9.62E-01,8.31E-02,9.96E-06,3.16E+00,3.76E-05,NA,1.00E+00,3.72E-04,-4.90E-01,2.56E-09,-9.50E+01,9.01E+01,1.00E-01,1.00E+00,1.00E+06,1.25E+01
Propylene Oxide,000075-56-9,2.68E-08,3.50E+01,3.70E+01,7.40E+00,8.31E-01,1.09E-01,1.19E-05,3.16E+00,2.85E-03,NA,5.19E+00,7.74E-04,3.00E-02,8.47E-09,-1.12E+02,5.81E+01,NA,1.00E+00,5.90E+05,5.38E+02
Propylthiouracil,000051-52-5,NA,4.00E+02,NA,NA,NA,6.19E-02,7.23E-06,3.16E+00,4.66E-08,NA,3.24E+01,7.72E-04,9.80E-01,NA,2.19E+02,1.70E+02,1.00E-01,1.00E+00,1.00E+03,6.92E-08
Prussian Blue (Ferric Ferrocyanide),014038-43-8,NA,NA,NA,NA,1.80E+00,1.55E-02,3.75E-06,NA,NA,NA,NA,NA,NA,NA,NA,8.59E+02,1.00E-01,1.00E+00,NA,NA
Pursuit,081335-77-5,NA,5.62E+02,NA,NA,NA,4.34E-02,5.07E-06,3.16E+00,4.25E-15,NA,3.39E+02,2.00E-03,2.60E+00,NA,1.71E+02,2.89E+02,1.00E-01,1.00E+00,1.40E+03,2.27E-11
Pydrin,051630-58-1,3.96E-02,4.80E+02,9.76E-03,1.95E-03,1.15E+00,1.81E-02,4.40E-06,7.02E+02,1.41E-06,NA,3.17E+05,9.38E-02,6.20E+00,1.25E-02,5.95E+01,4.20E+02,1.00E-01,1.00E+00,2.40E-02,1.50E-09
"Pyrazinyl phosphorothioate, O,O-diethyl O-2-",000297-97-2,NA,8.00E+01,NA,NA,NA,4.81E-02,5.62E-06,7.84E+00,3.52E-05,NA,3.95E+02,1.09E-03,1.86E+00,NA,-1.70E+00,2.48E+02,1.00E-01,1.00E+00,1.14E+03,3.00E-03
